,Unnamed: 0,name,Daily,%YD,%LW,Theaters,Avg,To Date,Days,Distributor
2126,2126, 'Hale County This Morning,"$1,149 ",9.70%,-28%,3,$383 ,"$91,777 ",153,The Cinema Guild\n\n
2127,2127, 'Ben Is Back',"$1,121 ",-33%,-47.80%,20,$56 ,"$3,692,587 ",69,Roadside Attractions\n\n
2128,2128, 'Mirai',$937 ,29.20%,109.20%,4,$234 ,"$752,364 ",77,GKIDS\n\n
2129,2129, 'Widows',$801 ,-9.70%,-30.90%,21,$38 ,"$42,392,973 ",90,Twentieth Century Fox\n\n
2130,2130, 'The Possession of Hannah Grace',$748 ,-15.40%,-73.70%,25,$29 ,"$14,827,861 ",76,Screen Gems\n\n
2131,2131, 'Replicas',$690 ,-22.80%,-61.90%,29,$23 ,"$4,040,288 ",34,Entertainment Studios Motion Pictures\n\n
2132,2132, 'Piercing',$509 ,118.50%,-51.10%,3,$169 ,"$15,388 ",13,Greenwich Entertainment\n\n
2133,2133, 'Peppa Celebrates Chinese New Year',$480 ,-85.10%,-98.70%,67,$7 ,"$121,618 ",8,STX Entertainment\n\n
2134,2134, 'Under the Eiffel Tower',$444 ,-5.70%,-,11,$40 ,"$5,439 ",6,The Orchard\n\n
2135,2135, 'Racetime',$370 ,-42.20%,-68.70%,25,$14 ,"$1,832,391 ",69,Entertainment One\n\n
2137,2137, 'Belle and Sebastian,$190 ,-76.40%,-89.10%,21,$9 ,"$96,707 ",20,Entertainment One\n\n
2138,2138, 'The Nun',$138 ,-,-,1,$138 ,"$27,860 ",41,Rialto Pictures\n\n
2139,2139, 'Jane and Emma',$97 ,-13.40%,-29.70%,4,$24 ,"$374,844 ",125,Excel Entertainment\n\n
2140,2140, 'Canal Street',$51 ,-74.60%,-97.70%,3,$17 ,"$248,242 ",27,-
2192,2192, 'Captain America: The First Avenger',"$3,777 ",-16.80%,-37.90%,102,$37 ,"$176,648,663 ",111,Paramount Pictures\n\n
2200,2200, 'The Man Who Fell to Earth',$883 ,-,-,1,$883 ,"$94,849 ",139,Rialto Pictures\n\n
2202,2202, 'Munger Road',$639 ,36%,-43.90%,9,$71 ,"$260,425 ",41,Freestyle Releasing\n\n
2206,2206, 'Dirty Girl',$359 ,-35.70%,564.80%,6,$59 ,"$54,857 ",34,The Weinstein Company\n\n
2209,2209, 'Project Nim',$96 ,60%,11.60%,3,$32 ,"$406,660 ",125,Roadside Attractions\n\n
2250,2250, 'Lucy in the Sky',"$1,274 ",17.90%,-82.60%,35,$36 ,"$319,976 ",28,Fox Searchlight Pictures\n\n
2349,2349, 'Being Flynn',"$4,613 ",18.90%,49.60%,12,$384 ,"$119,986 ",14,Focus Features\n\n
2356,2356, 'Paan Singh Tomar',$526 ,80.10%,-64.90%,5,$105 ,"$35,437 ",14,UTV Motion Pictures\n\n
2359,2359, 'El Sicario,$34 ,-,-,1,$34 ,"$5,875 ",79,Icarus Films\n\n
2371,2371, 'Captive State',"$82,755 ",-33.50%,-55.10%,"2,549",$32 ,"$5,789,410 ",14,Focus Features\n\n
2376,2376, 'Diana Ross: Her Life,"$58,967 ",-,-,623,$94 ,"$160,968 ",3,Fathom Events\n\n
